timestamp,tag,pressure,temperature,flow,unit
2026-09-07T12:16:46.873Z,E-101,7.8,42,120,Unit 100
2026-09-07T12:31:46.873Z,P-101A,7.91,42.3,121.08,Unit 100
2026-09-07T12:46:46.873Z,E-101,8.017,42.6,122.14,Unit 100
2026-09-07T13:01:46.873Z,P-101A,8.117,42.89,123.17,Unit 100
2026-09-07T13:16:46.873Z,E-101,8.209,43.17,124.16,Unit 100
2026-09-07T13:31:46.873Z,P-101A,8.288,43.44,125.08,Unit 100
2026-09-07T13:46:46.873Z,E-101,8.354,43.69,125.93,Unit 100
2026-09-07T14:01:46.873Z,P-101A,8.403,43.93,126.7,Unit 100
2026-09-07T14:16:46.873Z,E-101,8.436,44.15,127.37,Unit 100
2026-09-07T14:31:46.873Z,P-101A,8.449,44.35,127.94,Unit 100
2026-09-07T14:46:46.873Z,E-101,8.445,44.52,128.39,Unit 100
2026-09-07T15:01:46.873Z,P-101A,8.421,44.67,128.72,Unit 100
2026-09-07T15:16:46.873Z,E-101,8.38,44.8,128.92,Unit 100
2026-09-07T15:31:46.873Z,P-101A,8.322,44.89,129,Unit 100
2026-09-07T15:46:46.873Z,E-101,8.249,44.96,128.95,Unit 100
2026-09-07T16:01:46.873Z,P-101A,8.162,44.99,128.76,Unit 100
2026-09-07T16:16:46.873Z,E-101,8.066,45,128.46,Unit 100
2026-09-07T16:31:46.873Z,P-101A,7.962,44.97,128.03,Unit 100
2026-09-07T16:46:46.873Z,E-101,7.853,44.92,127.48,Unit 100
2026-09-07T17:01:46.873Z,P-101A,7.743,44.84,126.83,Unit 100
2026-09-07T17:16:46.873Z,E-101,7.634,44.73,126.08,Unit 100
2026-09-07T17:31:46.873Z,P-101A,7.53,44.59,125.24,Unit 100
2026-09-07T17:46:46.873Z,E-101,7.434,44.43,124.33,Unit 100
2026-09-07T18:01:46.873Z,P-101A,7.348,44.24,123.35,Unit 100
2026-09-07T18:16:46.873Z,E-101,7.276,44.03,122.33,Unit 100
2026-09-07T18:31:46.873Z,P-101A,7.218,43.8,121.27,Unit 100
2026-09-07T18:46:46.873Z,E-101,7.178,43.55,120.19,Unit 100
2026-09-07T19:01:46.873Z,P-101A,7.155,43.28,119.12,Unit 100
2026-09-07T19:16:46.873Z,E-101,7.151,43,118.05,Unit 100
2026-09-07T19:31:46.873Z,P-101A,7.165,42.72,117.01,Unit 100
2026-09-07T19:46:46.873Z,E-101,7.198,42.42,116.02,Unit 100
2026-09-07T20:01:46.873Z,P-101A,7.248,42.12,115.08,Unit 100
2026-09-07T20:16:46.873Z,E-101,7.315,41.82,114.21,Unit 100
2026-09-07T20:31:46.873Z,P-101A,7.395,41.53,113.43,Unit 100
2026-09-07T20:46:46.873Z,E-101,7.487,41.23,112.74,Unit 100
2026-09-07T21:01:46.873Z,P-101A,7.587,40.95,112.16,Unit 100
2026-09-07T21:16:46.873Z,E-101,7.694,40.67,111.68,Unit 100
2026-09-07T21:31:46.873Z,P-101A,7.804,40.41,111.33,Unit 100
